source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB82-001,NIH Safe Laboratory Practices and Procedures,NIH ORS DOHS,training,safety_guidance,general,4,general_safety;chemical;biosafety,https://ors.od.nih.gov/sr/dohs/safety/laboratory/Pages/student_goodlab.aspx,nih;laboratory safety;training,en,What daily safe laboratory practices are required for NIH lab personnel
WEB82-002,NIH Laboratory Safety Program Overview,NIH ORS DOHS,lab_management,safety_guidance,general,4,general_safety;chemical;biosafety,https://ors.od.nih.gov/sr/dohs/safety/laboratory/Pages/default.aspx,nih;lab safety;program,en,How is the NIH laboratory safety program organized for research operations
WEB82-013,NIH Hazardous Material Spill Incidents,NIH ORS DOHS,emergency,emergency_response,general,5,chemical;emergency,https://ors.od.nih.gov/sr/dohs/safety/incidents_accidents/Pages/hazmat_incident_spills.aspx,nih;spill response;incident,en,What immediate actions are required for hazardous material spill incidents
WEB82-014,NIH Student Laboratory Safety Training,NIH ORS DOHS,training,safety_guidance,general,4,general_safety;training,https://ors.od.nih.gov/sr/dohs/safety/Training/Pages/student_labtraining.aspx,nih;student training;lab safety,en,What competency requirements are expected in student laboratory safety training
WEB82-015,NIH Lab Worker Safety Resources,NIH ORS DOHS,lab_management,safety_guidance,general,3,general_safety;training,https://ors.od.nih.gov/sr/dohs/YourRole/Pages/LabWorkersResources.aspx,nih;lab worker;resources,en,What safety resources should lab workers routinely consult before operations
WEB82-016,CDC Safe Labs About,CDC,lab_management,safety_guidance,general,3,general_safety;biosafety,https://www.cdc.gov/safe-labs/php/about/index.html,cdc;safe labs;about,en,What mission and scope are defined in CDC Safe Labs program overview
WEB82-017,CDC Biological Risk Assessment,CDC,biosafety,safety_guidance,biosafety,5,biosafety;risk_assessment,https://www.cdc.gov/safe-labs/php/biological-risk-assessment/index.html,cdc;biological risk assessment;biorisk,en,How should biological risk assessment be structured for laboratory activities
WEB82-018,CDC Biorisk Management,CDC,biosafety,safety_guidance,biosafety,5,biosafety;risk_management,https://www.cdc.gov/safe-labs/php/biorisk-management/index.html,cdc;biorisk management;biosafety,en,What biorisk management controls should laboratories implement and monitor
WEB82-019,CDC Biosafety Town Hall,CDC,training,safety_guidance,biosafety,3,biosafety;training,https://www.cdc.gov/safe-labs/php/biosafety-town-hall/index.html,cdc;biosafety town hall;training,en,What recurring biosafety training topics are highlighted in CDC town hall resources
WEB82-020,CDC ECHO Biosafety,CDC,training,safety_guidance,biosafety,3,biosafety;training,https://www.cdc.gov/safe-labs/php/echo-biosafety/index.html,cdc;echo biosafety;capacity building,en,How can laboratories use CDC ECHO biosafety resources for workforce development
WEB82-021,CDC ECHO Biosafety 2023,CDC,training,safety_guidance,biosafety,3,biosafety;training,https://www.cdc.gov/safe-labs/php/echo-biosafety-2023/index.html,cdc;echo biosafety 2023;training,en,What practical biosafety lessons and implementation cases are included in CDC ECHO 2023
WEB82-022,CDC Laboratory Systems About,CDC,lab_management,safety_guidance,general,3,general_safety;quality,https://www.cdc.gov/laboratory-systems/php/about/index.html,cdc;laboratory systems;quality,en,How does CDC laboratory systems guidance support quality and safety governance
WEB82-023,CDC Labs Home,CDC,lab_management,safety_guidance,general,3,general_safety;quality,https://www.cdc.gov/labs/index.html,cdc;labs portal;navigation,en,What major laboratory safety and quality resources are centralized in CDC Labs portal
WEB82-024,HSE Biosafety Blood-borne Viruses,HSE UK,biosafety,safety_guidance,biosafety,4,biosafety;infection_control,https://www.hse.gov.uk/biosafety/blood-borne-viruses/index.htm,hse;blood-borne viruses;biosafety,en,What controls are required to prevent occupational blood-borne virus exposure
WEB82-025,HSE Biosafety GMO,HSE UK,biosafety,safety_guidance,biosafety,4,biosafety;gmo,https://www.hse.gov.uk/biosafety/gmo/index.htm,hse;gmo;biosafety,en,What compliance controls are needed for GMO related laboratory work
WEB82-026,HSE Biosafety Infection,HSE UK,biosafety,safety_guidance,biosafety,4,biosafety;infection_control,https://www.hse.gov.uk/biosafety/infection.htm,hse;infection risk;biosafety,en,How should laboratories manage infection risks in routine and high-risk operations
WEB82-027,HSE COSHH,HSE UK,standard,regulation,chemical,4,chemical;hazardous_chemicals,https://www.hse.gov.uk/coshh/,hse;coshh;chemical control,en,How should laboratories apply COSHH principles to assess and control chemical exposure
WEB82-028,CCOHS Chemical Hazards,CCOHS,chemical,safety_guidance,chemical,3,chemical;hazard_communication,https://www.ccohs.ca/topics/hazards/chemical,ccohs;chemical hazards;guidance,en,What baseline controls are recommended for chemical hazards in workplace laboratories
WEB82-029,CCOHS WHMIS,CCOHS,standard,regulation,chemical,4,chemical;hazard_communication,https://www.ccohs.ca/topics/hazards/chemical/whmis,ccohs;whmis;labels,en,How should laboratories implement WHMIS requirements for labels SDS and worker training
WEB82-030,CCOHS Chemical Effects,CCOHS,chemical,safety_guidance,chemical,3,chemical;toxicology,https://www.ccohs.ca/topics/hazards/chemical/effects,ccohs;chemical effects;health impact,en,How should chemical health effects information be used in laboratory risk assessment and controls
